skill_id,skill_name,repo_name,repo_url,skill_url,category,installs,leaderboard_rank,is_official,github_stars_abbreviated,snyk_status,socket_status,agent_trust_hub_status,summary,has_skill_md,scope,procedural,analytical,orchestration,compliance,documentation,explicitness,documentation_quality,tacit_dependency,context_sensitivity,codifiability_score,codifiability_rationale,coordination_burden,evaluation_type,output_verifiability,tests_quality,thresholds_quality,error_handling,evaluability_score,evaluability_rationale,requires_memory,requires_tools,requires_external_services,provenance_clarity,maintenance_signals,safety_notes,scope_limits,coding_status,audit_confidence,coding_notes
SD01,vercel-react-best-practices,vercel-labs/agent-skills,https://github.com/vercel-labs/agent-skills,https://www.skills.sh/vercel-labs/agent-skills/vercel-react-best-practices,software-development,413759,3,Y,26.8K,pass,pass,pass,"React and Next.js performance optimization guidelines from Vercel Engineering. This skill should be used when writing, reviewing, or refactoring React/Next.js…",Y,multi_step_workflow,2,3,1,0,4,3,3,2,2,3,"SKILL.md clearly specifies when to apply the skill (""When to Apply"") and provides a structured, prioritized taxonomy of ~70 named rules across 8 categories, plus a concrete usage path (read individual `rules/*.md` files; full expansion in `AGENTS.md`). However, the core artefact is primarily a guideline index rather than step-by-step refactoring procedures with decision logic, and applying rules correctly still requires developer judgement about tradeoffs and code context (e.g., choosing which performance rule fits a given component/data-fetching pattern).",2,holistic,2,0,0,0,1,"The artefact provides many prescriptive rules and examples are said to exist in per-rule files, but SKILL.md itself contains no explicit acceptance tests, benchmarks, or pass/fail thresholds for determining whether a refactor is ""optimal"". As a result, evaluation is mostly via human review and indirect signals (performance outcomes), rather than deterministic checks described in the skill text.",0,0,0,4,1,0,1,complete,3,"Evidence: YAML frontmatter includes author=vercel, version=1.0.0, license=MIT (strong provenance). SKILL.md references additional artefacts (`rules/*.md`, `AGENTS.md`) for detailed examples, but those contents are not included here; coded documentation_quality and evaluability conservatively based on visible text. No explicit out-of-scope guidance beyond ""When to Apply"" triggers."
SD02,write-a-skill,mattpocock/skills,https://github.com/mattpocock/skills,https://www.skills.sh/mattpocock/skills/write-a-skill,software-development,108666,99,N,95.3K,pass,pass,pass,"Create new agent skills with proper structure, progressive disclosure, and bundled resources. Use when user wants to create, write, or build a new skill.",Y,multi_step_workflow,4,2,2,0,4,4,4,1,1,4,"SKILL.md provides a clear, ordered process (gather requirements → draft → review) plus concrete structural guidance (folder tree) and a ready-to-use SKILL.md template, making the know-how highly explicit and reusable. It also includes specific heuristics (e.g., split files when SKILL.md exceeds 100 lines; add scripts for deterministic ops) and a review checklist, reducing reliance on tacit judgement. Minor tacit/context dependence remains because “good” triggers/examples and what counts as “distinct domains” still require some judgement and adaptation to the user’s domain.",2,objective,3,0,3,1,2,"Evaluation is supported via explicit acceptance criteria and checklists (e.g., description format rules, max 1024 chars, third person, two-sentence structure; SKILL.md under 100 lines; checklist items), making many outputs verifiable against stated constraints. However, there are no tests or validation scripts included, and error handling is only indirectly mentioned (scripts when “errors need explicit handling”) without concrete failure-mode procedures.",0,0,0,2,0,1,2,complete,4,"Strong progressive-disclosure guidance (SKILL.md vs REFERENCE/EXAMPLES) and multiple concrete examples (good/bad description) plus numeric thresholds (1024 chars, 100 lines) support high codifiability/evaluability. Provenance limited to frontmatter name/description; no author/version/license info in SKILL.md."
SD03,using-git-worktrees,obra/superpowers,https://github.com/obra/superpowers,https://www.skills.sh/obra/superpowers/using-git-worktrees,software-development,70516,175,N,198.3K,warn,pass,pass,Use when starting feature work that needs isolation from current workspace or before executing implementation plans - ensures an isolated workspace exists via…,Y,multi_step_workflow,4,1,3,1,0,4,3,1,2,3,"SKILL.md provides a clear, ordered procedure with decision points (Step 0 isolation detection incl. submodule guard; Step 1a native-tool preference; Step 1b fallback with directory priority, ignore verification, and sandbox fallback; Steps 3–4 setup and baseline tests). It includes concrete shell commands, a quick-reference table, and common mistakes/red flags, reducing ambiguity; remaining tacit dependence is mainly in choosing/recognizing the platform’s “native worktree tool” and selecting the project-appropriate test command.",3,hybrid,3,1,2,3,2,"The skill specifies a checkable baseline condition—run project tests and branch on pass/fail (“If tests fail: report failures, ask whether to proceed”), and it defines a concrete report format including test counts. However, it does not provide actual test implementations and the test command is left as a project-appropriate choice (npm/cargo/pytest/go), so evaluation is partly objective (tests) but depends on contextual selection and interpretation.",0,1,0,2,0,3,3,complete,4,Strong procedural codification with explicit commands and decision guards (submodule vs worktree; consent gate; directory priority; gitignore verification; sandbox permission-error fallback). External services not evidenced; relies on local git + language toolchains (npm/cargo/pip/poetry/go). Provenance limited to frontmatter name/description; no version/author/license in SKILL.md.
SD04,web-artifacts-builder,anthropics/skills,https://github.com/anthropics/skills,https://www.skills.sh/anthropics/skills/web-artifacts-builder,software-development,48940,262,Y,137.6K,pass,pass,pass,"Suite of tools for creating elaborate, multi-component claude.ai HTML artifacts using modern frontend web technologies (React, Tailwind CSS, shadcn/ui). Use…",Y,multi_step_workflow,4,1,3,0,1,3,3,2,3,2,"SKILL.md provides a clear step sequence (init via `scripts/init-artifact.sh`, develop, bundle via `scripts/bundle-artifact.sh`, share, optional test) plus concrete commands and a detailed description of what the bundling script does and requirements (e.g., `index.html` in root). However, successful execution still depends on tacit frontend judgement during “Develop your artifact” and adherence to aesthetic guidance (“avoid AI slop”), and it is context-bound to a specific toolchain (React/Vite/Parcel/Tailwind/shadcn) and the provided repo scripts.",3,none_visible,2,1,0,1,1,"The primary output (`bundle.html`) is partially verifiable (it should exist and render), but SKILL.md provides no concrete acceptance criteria beyond being a “self-contained artifact” and having `index.html` present. Testing is explicitly optional and no test procedures or pass/fail thresholds are specified; failure handling is limited to light guidance about when to test (if requested or issues arise).",0,1,0,3,0,1,3,complete,3,Requires local scripts and Node/tooling implied by the stack and scripts; no explicit external APIs/credentials mentioned. Scope boundary is stated (“not for simple single-file HTML/JSX artifacts”) and testing guidance is present but not a true evaluation protocol.
SD05,nodejs-backend-patterns,wshobson/agents,https://github.com/wshobson/agents,https://www.skills.sh/wshobson/agents/nodejs-backend-patterns,software-development,32991,311,N,35.7K,pass,pass,pass,"Build production-ready Node.js backend services with Express/Fastify, implementing middleware patterns, error handling, authentication, database integration,…",Y,end_to_end_process,2,2,2,1,3,2,2,3,2,2,"SKILL.md provides high-level best-practice bullets (e.g., TypeScript, validation with Zod/Joi, logging, rate limiting, graceful shutdown) and usage contexts, but it does not specify concrete step-by-step implementation flows or decision logic for Express/Fastify, auth, DB integration, etc. It points to additional documentation in `references/details.md`, indicating some codification exists beyond this file, yet execution still depends on substantial unstated engineering judgement and project-specific choices.",3,none_visible,2,1,0,1,1,"The artefact recommends testing (“Write tests: Unit, integration, and E2E tests”) and references another skill for testing patterns, but provides no concrete tests, acceptance criteria, or pass/fail thresholds in this SKILL.md. Outputs (a backend service) are partially verifiable in principle (it runs, endpoints behave), but correctness and “production-ready” quality are not operationalised here.",0,1,0,2,0,2,1,complete,3,"Requires tools/frameworks/libraries implied (Node.js, Express/Fastify, TypeScript, Zod/Joi, Pino/Winston), but no install/setup commands in SKILL.md. Safety/limitations are lightly covered via security best practices (env vars, HTTPS, CORS not '*'), but no explicit threat model or escalation guidance. Scope is broad (covers many backend concerns) yet mostly advisory; detailed worked examples are deferred to `references/details.md` which is not included in provided content."
SD06,vue,antfu/skills,https://github.com/antfu/skills,https://www.skills.sh/antfu/skills/vue,software-development,22844,376,N,5.0K,missing,missing,missing,"Vue 3 Composition API, script setup macros, reactivity system, and built-in components. Use when writing Vue SFCs, defineProps/defineEmits/defineModel,…",Y,single_bounded_task,2,1,1,0,4,2,3,2,2,2,"The artefact primarily codifies Vue 3.5 conventions and API knowledge (preferences plus topic tables and a SFC template), but it does not provide a step-by-step procedure for completing a specific development task beyond general guidance like “Always use Composition API with <script setup lang=""ts"">”. It includes concrete examples (component template, key imports) and references to deeper docs, yet correct application still depends on tacit judgement about component design and project conventions, and it is context-bound to the Vue 3 ecosystem.",1,holistic,2,0,0,0,1,"Outputs (Vue SFC code) are partially verifiable via compilation/type-checking in principle, but the SKILL.md provides no explicit tests, acceptance criteria, or pass/fail thresholds—only preferences and examples. No failure modes or recovery guidance are described.",0,0,0,4,2,0,0,complete,3,"Coded as a documentation/knowledge reference skill (dominant) rather than an executable workflow: contains preferences, topic pointers, and example snippets but lacks procedural task steps, evaluation criteria, or boundaries. Maintenance signals inferred from explicit version field (""2026.1.31"") but no changelog/update notes in SKILL.md."
SD07,java-springboot,github/awesome-copilot,https://github.com/github/awesome-copilot,https://www.skills.sh/github/awesome-copilot/java-springboot,software-development,14921,491,Y,33.4K,pass,pass,pass,Get best practices for developing applications with Spring Boot.,Y,end_to_end_process,2,2,1,1,0,2,2,3,2,2,"SKILL.md provides a broad checklist of best practices across setup, DI, configuration, web/service/data layers, logging, testing, and security, but it is not an executable procedure with ordered steps or decision rules (mostly bullet-point guidance). It includes some concrete snippets (e.g., logger declaration, annotation names like @ControllerAdvice/@Transactional) yet many items require situational judgement (e.g., REST design, what constitutes “granular” transactions, when to use projections), increasing tacit dependence. Guidance is Spring Boot-specific and assumes a Java/Spring ecosystem (Maven/Gradle, Spring Data JPA, Spring Security), making it moderately context-bound.",2,holistic,1,1,0,2,1,"The artefact suggests testing approaches and tools (JUnit 5, Mockito, @SpringBootTest, test slices, Testcontainers) but does not provide runnable tests, acceptance criteria, or measurable thresholds for “high-quality” output. Some outputs could be partially checked (e.g., presence of constructor injection, DTO usage, global exception handler), but overall assessment remains largely judgement-based. Error handling is addressed conceptually via recommending @ControllerAdvice/@ExceptionHandler, without specifying expected error schemas or validation checks.",0,0,0,2,0,1,0,complete,3,Coded as guidance/checklist rather than a stepwise skill: explicitness limited by lack of ordered workflow and decision logic. Safety notes limited to “Do not hardcode secrets” and general security bullets; no explicit out-of-scope boundaries or escalation guidance. No explicit external service requirement stated; Vault/AWS Secrets Manager/Testcontainers mentioned only as considerations.
SD08,typegpu,heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,https://www.skills.sh/heygen-com/hyperframes/typegpu,software-development,13033,577,N,19.8K,pass,pass,pass,"TypeGPU and raw WebGPU adapter patterns for HyperFrames. Use when creating GPU-rendered compositions with TypeGPU, raw WebGPU, WGSL fragment shaders, compute…",Y,multi_step_workflow,4,1,3,0,1,4,4,2,3,3,"SKILL.md specifies a clear operational contract (sync GSAP timeline registration before any await; render from HyperFrames time; listen to `hf-seek`; guard for missing WebGPU; flush with `device.queue.onSubmittedWorkDone()`), and provides concrete code patterns for setup, rendering, and video-backed textures. However, successful use still assumes tacit WebGPU/TypeGPU competence (e.g., building pipelines/bind groups is left as a placeholder) and is tightly coupled to the HyperFrames runtime adapter/event model plus browser WebGPU availability.",3,none_visible,2,0,0,2,1,"The artefact provides deterministic-rendering guidance and some failure-mode notes (e.g., guard when `navigator.gpu`/adapter unavailable; try/catch around `copyExternalImageToTexture`; headless Chrome caveat and FFmpeg workaround), but it does not define tests, acceptance thresholds, or pass/fail criteria for visual correctness/performance. Outputs are only partially verifiable because correctness is largely visual/experiential despite some checkable constraints (e.g., rendering on `hf-seek`, avoiding `performance.now()`/`requestAnimationFrame`).",0,1,0,1,0,2,2,complete,3,"Requires specific environment: HyperFrames player semantics (`window.__hfTypegpuTime`, `hf-seek`), GSAP timelines, and browser WebGPU (`navigator.gpu`). No explicit provenance/author/version beyond frontmatter name/description. No explicit evaluation or test guidance; visual output quality likely needs human review."
SD09,golang-pro,jeffallan/claude-skills,https://github.com/jeffallan/claude-skills,https://www.skills.sh/jeffallan/claude-skills/golang-pro,software-development,12827,584,N,9.2K,pass,pass,pass,"Implements concurrent Go patterns using goroutines and channels, designs and builds microservices with gRPC or REST, optimizes Go application performance with…",Y,multi_step_workflow,4,2,2,1,1,3,3,1,2,3,"SKILL.md provides a clear stepwise ""Core Workflow"" (analyze→design→implement with `go vet`→lint with `golangci-lint`→optimize with pprof/benchmarks→test with `-race`, fuzzing, 80%+ coverage) plus explicit MUST DO/MUST NOT constraints and an output template, making the core execution path fairly well specified. Supporting material includes a concrete concurrency code example and a reference table pointing to topic docs (e.g., `references/concurrency.md`, `references/testing.md`) and an external documentation link, improving reusability. Some judgement remains (e.g., ""Analyze architecture"", ""Optimize"" decisions) and it assumes a Go toolchain and linting/profiling setup, so transferability is not fully context-free.",2,objective,3,2,3,2,3,"Evaluation is partly objective because the skill specifies concrete validation steps and criteria: run `go vet ./...`, run `golangci-lint run` and fix issues, run tests with `-race`, and target ""80%+ coverage"" with race detector passing before committing. However, no actual test suite or scripts are included in the SKILL.md itself (only guidance), and some outcomes (architecture/interface quality, performance optimization success) still require contextual judgement beyond the stated thresholds.",0,1,0,4,2,1,2,complete,3,"Provenance is explicit in frontmatter (MIT, author URL, version 1.1.0). Tool requirements are evidenced by commands (`go vet`, `golangci-lint`, pprof/benchmarks implied). External services (e.g., gRPC) are mentioned but no API keys/hosted services are required by the artefact text, so coded 0. Scope limits are present mainly as MUST NOT constraints; no explicit escalation/handoff guidance."
SD10,rust-async-patterns,wshobson/agents,https://github.com/wshobson/agents,https://www.skills.sh/wshobson/agents/rust-async-patterns,software-development,12656,586,N,35.7K,pass,pass,pass,"Master Rust async programming with Tokio, async traits, error handling, and concurrent patterns. Use when building async Rust applications, implementing…",Y,multi_step_workflow,3,2,2,0,1,2,3,2,2,2,"SKILL.md provides concrete Rust/Tokio setup (Cargo.toml deps) and a runnable-style async example plus a structured list of do’s/don’ts, but it is primarily a pattern guide rather than a step-by-step procedure for a specific deliverable. It also points to additional documentation in `references/details.md` (supporting material), while correct application still requires Rust async judgement (e.g., when to use channels vs locks, cancellation, Send bounds) and assumes a Tokio-based stack.",2,holistic,1,0,0,1,1,"The artefact contains no tests, acceptance criteria, or measurable thresholds; evaluation is mainly whether the resulting async code behaves well in context. Error handling is discussed only as best-practice guidance (e.g., “Don’t ignore errors—propagate with `?` or log”) rather than specifying failure modes and recovery procedures.",0,1,0,2,0,1,0,complete,3,"Evidence based on SKILL.md: includes dependency list, example code, conceptual model, and best-practice do/don’t list; references external file `references/details.md` but its contents are not shown here (so explicitness capped). External services not required despite example URL (`api.example.com`) being illustrative only."
